10000 0.32
20000 667.51
30000 1056.657
40000 745.159
50000 1119.007
60000 1111.747
70000 715.993
80000 830.439
90000 740.061
100000 434.735
110000 721.397
120000 775.649
130000 352.984
140000 545.65
150000 356.687
160000 317.095
170000 314.741
180000 171.833
190000 195.22
200000 102.204
210000 25.509
220000 40.252
230000 33.39
240000 38.967
250000 29.427
260000 23.57
270000 18.195
280000 15.111
290000 4.41
300000 33.39
310000 106.935
320000 64.977
330000 83.604
340000 30.173
