10000 0.331
20000 427.2
30000 1606.702
40000 1454.24
50000 1023.245
60000 1675.132
70000 1685.519
80000 1338.634
90000 844.211
100000 1160.862
110000 1023.155
120000 742.063
130000 618.946
140000 277.989
150000 957.763
160000 1114.136
170000 906.019
180000 545.299
190000 783.345
200000 637.283
210000 314.334
220000 509.537
230000 360.998
240000 171.136
250000 198.188
260000 42.248
270000 106.398
280000 51.997
290000 42.52
300000 39.815
310000 46.371
320000 32.045
330000 35.81
340000 26.364
350000 21.087
360000 9.686
370000 3.79
380000 91.506
390000 134.951
400000 116.304
410000 116.959
420000 85.099
